"Bill of Material for "
"On 2016/11/11 at 9:07:39"

"Comment","Pattern","Quantity","Components"

"2301","SOT-23 - LDO","1","Q1","P-Channel MOSFET"
"2302","SOT-23 - LDO","1","Q3","N-Channel MOSFET"
"BLE 4.0","BLE4.0","1","U2",""
"Cap Pol1","3528","2","C2, C4","Polarized Capacitor (Radial)"
"Cap Semi","C0805","7","C1, C3, C5, C6, C7, C8, C9","Capacitor (Semiconductor SIM Model)"
"Header 2","HDR1X2","1","P1","Header, 2-Pin"
"Header 4","HDR1X4","2","P3, P4","Header, 4-Pin"
"Header 7","HDR1X7","1","P2","Header, 7-Pin"
"LED0","0805","2","D2, D3","Typical INFRARED GaAs LED"
"LED0","LED1","1","D1","Typical INFRARED GaAs LED"
"Photo NPN","SIP3","1","Q2","NPN Phototransistor"
"Res2","C0805","9","R1, R2, R3, R4, R5, R6, R7, R8, R9","Resistor"
"STC15W201S_SOP16_DIP16","SOP16","1","U3",""
"SW-PB","KEY4","1","S1","Switch"
"XC6206P302PR","SOT-23 - LDO","1","U1","Voltage Regulator"
